iteration	t (ms)	leakageParameters:E_L (mV)	leakageParameters:g_L (mS_per_cm2)	membraneParameters:Cm (microF_per_cm2)	potassiumChannelParameters:E_K (mV)	potassiumChannelParameters:g_K (milliS_per_cm2)	sodiumChannelParameters:E_Na (mV)	sodiumChannelParameters:g_Na (mS_per_cm2)	controller:i_stim (microA_per_cm2)	sodiumChannelEquations:Na_conductance (mS_per_cm2)	sodiumChannelEquations:i_Na (microA_per_cm2)	mGateEquations:alpha_m (per_ms)	mGateEquations:beta_m (per_ms)	hGateEquations:alpha_h (per_ms)	hGateEquations:beta_h (per_ms)	potassiumChannelEquations:i_K (microA_per_cm2)	nGateEquations:alpha_n (per_ms)	nGateEquations:beta_n (per_ms)	leakageEquations:i_L (microA_per_cm2)	membraneEquations:i_tot (microA_per_cm2)	importedGateM:X (dimensionless)	importedGateH:X (dimensionless)	importedGate:X (dimensionless)	membraneEquations:V (mV)
312	 3.12-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.16312	 -25.5819	 7.69476	 0.013905	 0.000428645	 0.999247	 6.53327	 0.0094418	 0.174988	 24.3937	 5.34509	 	0.998266	0.0262359	0.200397	26.859
313	 3.13-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.13196	 -25.4973	 7.68943	 0.0139463	 0.000429792	 0.999243	 6.49434	 0.00947996	 0.174871	 24.3777	 5.37476	 	0.99826	0.0259779	0.200122	26.8052
314	 3.14-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.1011	 -25.4128	 7.68407	 0.013988	 0.000430948	 0.999239	 6.45571	 0.00951847	 0.174754	 24.3616	 5.40449	 	0.998254	0.0257225	0.199848	26.7512
315	 3.15-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.07056	 -25.3285	 7.67868	 0.0140301	 0.000432114	 0.999235	 6.41737	 0.00955734	 0.174636	 24.3454	 5.43427	 	0.998248	0.0254697	0.199576	26.6969
316	 3.16-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.04033	 -25.2443	 7.67327	 0.0140725	 0.00043329	 0.999231	 6.37934	 0.00959657	 0.174517	 24.3291	 5.46411	 	0.998242	0.0252194	0.199304	26.6422
317	 3.17-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 3.0104	 -25.1603	 7.66782	 0.0141153	 0.000434476	 0.999227	 6.34159	 0.00963616	 0.174398	 24.3127	 5.494	 	0.998236	0.0249716	0.199034	26.5873
318	 3.18-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.98077	 -25.0764	 7.66234	 0.0141585	 0.000435671	 0.999223	 6.30414	 0.00967612	 0.174279	 24.2962	 5.52395	 	0.99823	0.0247264	0.198765	26.532
319	 3.19-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.95144	 -24.9926	 7.65684	 0.014202	 0.000436876	 0.999218	 6.26698	 0.00971645	 0.174158	 24.2796	 5.55394	 	0.998224	0.0244835	0.198496	26.4765
320	 3.2-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.9224	 -24.9091	 7.6513	 0.0142459	 0.000438091	 0.999214	 6.2301	 0.00975716	 0.174037	 24.2629	 5.58399	 	0.998217	0.0242432	0.198229	26.4207
321	 3.21-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.89365	 -24.8256	 7.64573	 0.0142901	 0.000439315	 0.99921	 6.19351	 0.00979824	 0.173916	 24.2462	 5.61408	 	0.998211	0.0240052	0.197963	26.3645
322	 3.22-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.8652	 -24.7423	 7.64014	 0.0143348	 0.00044055	 0.999205	 6.15721	 0.00983971	 0.173794	 24.2294	 5.64422	 	0.998205	0.0237697	0.197698	26.3081
323	 3.23-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.83702	 -24.6592	 7.63451	 0.0143798	 0.000441795	 0.999201	 6.12119	 0.00988156	 0.173671	 24.2124	 5.6744	 	0.998198	0.0235365	0.197434	26.2513
324	 3.24-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.80914	 -24.5762	 7.62886	 0.0144252	 0.000443051	 0.999196	 6.08544	 0.00992379	 0.173548	 24.1954	 5.70463	 	0.998192	0.0233056	0.197171	26.1943
325	 3.25-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.78153	 -24.4934	 7.62317	 0.014471	 0.000444316	 0.999191	 6.04998	 0.00996642	 0.173424	 24.1783	 5.7349	 	0.998185	0.0230771	0.196909	26.1369
326	 3.26-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.7542	 -24.4107	 7.61745	 0.0145172	 0.000445592	 0.999187	 6.01479	 0.0100094	 0.1733	 24.1611	 5.76521	 	0.998178	0.0228509	0.196648	26.0793
327	 3.27-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.72715	 -24.3281	 7.61171	 0.0145637	 0.000446878	 0.999182	 5.97988	 0.0100529	 0.173175	 24.1438	 5.79556	 	0.998172	0.0226269	0.196388	26.0213
328	 3.28-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.70036	 -24.2457	 7.60593	 0.0146107	 0.000448175	 0.999177	 5.94524	 0.0100967	 0.17305	 24.1264	 5.82596	 	0.998165	0.0224052	0.196129	25.9631
329	 3.29-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.67385	 -24.1634	 7.60012	 0.0146581	 0.000449483	 0.999173	 5.91087	 0.0101409	 0.172924	 24.1089	 5.85638	 	0.998158	0.0221857	0.195872	25.9045
330	 3.3-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.6476	 -24.0813	 7.59429	 0.0147058	 0.000450801	 0.999168	 5.87677	 0.0101856	 0.172797	 24.0914	 5.88685	 	0.998151	0.0219685	0.195615	25.8456
331	 3.31-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.62162	 -23.9993	 7.58842	 0.014754	 0.00045213	 0.999163	 5.84294	 0.0102306	 0.17267	 24.0737	 5.91735	 	0.998144	0.0217534	0.19536	25.7865
332	 3.32-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.5959	 -23.9174	 7.58252	 0.0148026	 0.000453469	 0.999158	 5.80937	 0.0102761	 0.172543	 24.0559	 5.94788	 	0.998137	0.0215405	0.195105	25.727
333	 3.33-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.57044	 -23.8357	 7.57659	 0.0148516	 0.00045482	 0.999153	 5.77607	 0.010322	 0.172414	 24.0381	 5.97844	 	0.99813	0.0213297	0.194852	25.6672
334	 3.34-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.54523	 -23.7542	 7.57064	 0.014901	 0.000456181	 0.999148	 5.74303	 0.0103683	 0.172286	 24.0202	 6.00903	 	0.998123	0.0211211	0.1946	25.6071
335	 3.35-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.52028	 -23.6727	 7.56465	 0.0149508	 0.000457554	 0.999143	 5.71024	 0.010415	 0.172156	 24.0021	 6.03966	 	0.998116	0.0209145	0.194349	25.5467
336	 3.36-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.49558	 -23.5914	 7.55863	 0.0150011	 0.000458938	 0.999137	 5.67772	 0.0104622	 0.172026	 23.984	 6.0703	 	0.998108	0.02071	0.194099	25.486
337	 3.37-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.47113	 -23.5103	 7.55258	 0.0150517	 0.000460333	 0.999132	 5.64546	 0.0105098	 0.171896	 23.9658	 6.10098	 	0.998101	0.0205076	0.19385	25.425
338	 3.38-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.44692	 -23.4293	 7.5465	 0.0151028	 0.000461739	 0.999127	 5.61345	 0.0105579	 0.171765	 23.9475	 6.13168	 	0.998094	0.0203072	0.193602	25.3637
339	 3.39-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.42296	 -23.3484	 7.54039	 0.0151544	 0.000463157	 0.999121	 5.58169	 0.0106064	 0.171633	 23.9291	 6.1624	 	0.998086	0.0201089	0.193355	25.3021
340	 3.4-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.39924	 -23.2677	 7.53425	 0.0152064	 0.000464586	 0.999116	 5.55019	 0.0106553	 0.171501	 23.9106	 6.19314	 	0.998078	0.0199125	0.193109	25.2401
341	 3.41-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.37576	 -23.1871	 7.52808	 0.0152588	 0.000466027	 0.999111	 5.51894	 0.0107047	 0.171368	 23.892	 6.2239	 	0.998071	0.0197181	0.192865	25.1779
342	 3.42-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.35251	 -23.1066	 7.52188	 0.0153116	 0.00046748	 0.999105	 5.48794	 0.0107545	 0.171235	 23.8734	 6.25468	 	0.998063	0.0195257	0.192621	25.1153
343	 3.43-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.3295	 -23.0263	 7.51564	 0.0153649	 0.000468944	 0.999099	 5.45718	 0.0108048	 0.171101	 23.8546	 6.28548	 	0.998055	0.0193352	0.192379	25.0525
344	 3.44-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.30672	 -22.9461	 7.50938	 0.0154187	 0.00047042	 0.999094	 5.42667	 0.0108556	 0.170967	 23.8357	 6.31629	 	0.998047	0.0191467	0.192138	24.9893
345	 3.45-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.28417	 -22.8661	 7.50309	 0.0154729	 0.000471908	 0.999088	 5.3964	 0.0109069	 0.170832	 23.8168	 6.34712	 	0.99804	0.01896	0.191898	24.9259
346	 3.46-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.26185	 -22.7862	 7.49676	 0.0155275	 0.000473408	 0.999082	 5.36638	 0.0109586	 0.170696	 23.7978	 6.37795	 	0.998032	0.0187752	0.191659	24.8621
347	 3.47-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.23975	 -22.7064	 7.49041	 0.0155826	 0.00047492	 0.999076	 5.33659	 0.0110108	 0.17056	 23.7786	 6.4088	 	0.998023	0.0185923	0.191421	24.798
348	 3.48-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.21787	 -22.6268	 7.48402	 0.0156382	 0.000476445	 0.99907	 5.30705	 0.0110634	 0.170424	 23.7594	 6.43965	 	0.998015	0.0184112	0.191184	24.7336
349	 3.49-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.19622	 -22.5473	 7.47761	 0.0156943	 0.000477981	 0.999064	 5.27774	 0.0111166	 0.170287	 23.7401	 6.47052	 	0.998007	0.018232	0.190948	24.6689
350	 3.5-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.17478	 -22.468	 7.47116	 0.0157508	 0.00047953	 0.999058	 5.24867	 0.0111702	 0.170149	 23.7207	 6.50138	 	0.997999	0.0180545	0.190714	24.6039
351	 3.51-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.15356	 -22.3887	 7.46468	 0.0158078	 0.000481091	 0.999052	 5.21984	 0.0112243	 0.170011	 23.7012	 6.53226	 	0.99799	0.0178789	0.19048	24.5385
352	 3.52-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.13256	 -22.3097	 7.45817	 0.0158652	 0.000482665	 0.999046	 5.19124	 0.011279	 0.169872	 23.6816	 6.56313	 	0.997982	0.017705	0.190248	24.4729
353	 3.53-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.11177	 -22.2307	 7.45164	 0.0159232	 0.000484252	 0.99904	 5.16287	 0.0113341	 0.169733	 23.6619	 6.594	 	0.997973	0.0175329	0.190017	24.407
354	 3.54-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.09118	 -22.1519	 7.44507	 0.0159816	 0.000485851	 0.999033	 5.13473	 0.0113898	 0.169593	 23.6421	 6.62487	 	0.997965	0.0173625	0.189787	24.3407
355	 3.55-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.07081	 -22.0733	 7.43847	 0.0160406	 0.000487463	 0.999027	 5.10682	 0.0114459	 0.169453	 23.6222	 6.65574	 	0.997956	0.0171938	0.189558	24.2742
356	 3.56-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.05064	 -21.9948	 7.43184	 0.0161	 0.000489088	 0.99902	 5.07914	 0.0115026	 0.169312	 23.6023	 6.68661	 	0.997947	0.0170269	0.18933	24.2073
357	 3.57-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.03067	 -21.9164	 7.42518	 0.0161599	 0.000490726	 0.999014	 5.05168	 0.0115597	 0.16917	 23.5822	 6.71747	 	0.997939	0.0168616	0.189104	24.1401
358	 3.58-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 2.0109	 -21.8382	 7.41848	 0.0162203	 0.000492377	 0.999007	 5.02445	 0.0116175	 0.169028	 23.562	 6.74832	 	0.99793	0.016698	0.188878	24.0726
359	 3.59-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.99134	 -21.7601	 7.41176	 0.0162812	 0.000494041	 0.999001	 4.99744	 0.0116757	 0.168886	 23.5418	 6.77916	 	0.997921	0.016536	0.188654	24.0049
360	 3.6-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.97197	 -21.6821	 7.40501	 0.0163427	 0.000495718	 0.998994	 4.97066	 0.0117345	 0.168743	 23.5215	 6.80999	 	0.997911	0.0163757	0.188431	23.9368
361	 3.61-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.9528	 -21.6043	 7.39823	 0.0164046	 0.000497409	 0.998987	 4.94409	 0.0117938	 0.168599	 23.501	 6.84081	 	0.997902	0.016217	0.188209	23.8683
362	 3.62-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.93382	 -21.5266	 7.39141	 0.0164671	 0.000499113	 0.99898	 4.91775	 0.0118536	 0.168455	 23.4805	 6.87161	 	0.997893	0.0160599	0.187988	23.7996
363	 3.63-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.91504	 -21.4491	 7.38457	 0.0165301	 0.000500831	 0.998973	 4.89162	 0.011914	 0.16831	 23.4599	 6.9024	 	0.997884	0.0159044	0.187769	23.7306
364	 3.64-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.89644	 -21.3717	 7.37769	 0.0165936	 0.000502563	 0.998966	 4.86571	 0.0119749	 0.168165	 23.4392	 6.93317	 	0.997874	0.0157505	0.18755	23.6613
365	 3.65-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.87803	 -21.2945	 7.37079	 0.0166576	 0.000504308	 0.998959	 4.84001	 0.0120364	 0.168019	 23.4184	 6.96391	 	0.997865	0.0155981	0.187333	23.5916
366	 3.66-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.85981	 -21.2174	 7.36385	 0.0167222	 0.000506067	 0.998951	 4.81453	 0.0120985	 0.167873	 23.3975	 6.99464	 	0.997855	0.0154473	0.187117	23.5217
367	 3.67-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.84177	 -21.1404	 7.35689	 0.0167873	 0.00050784	 0.998944	 4.78926	 0.0121611	 0.167727	 23.3765	 7.02534	 	0.997845	0.015298	0.186902	23.4514
368	 3.68-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.82392	 -21.0636	 7.34989	 0.0168529	 0.000509627	 0.998937	 4.7642	 0.0122243	 0.167579	 23.3554	 7.05602	 	0.997836	0.0151502	0.186688	23.3809
369	 3.69-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.80624	 -20.9869	 7.34286	 0.0169191	 0.000511428	 0.998929	 4.73935	 0.0122881	 0.167432	 23.3343	 7.08667	 	0.997826	0.0150039	0.186475	23.31
370	 3.7-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.78874	 -20.9104	 7.33581	 0.0169859	 0.000513243	 0.998921	 4.71471	 0.0123525	 0.167283	 23.313	 7.1173	 	0.997816	0.014859	0.186264	23.2388
371	 3.71-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.77143	 -20.834	 7.32872	 0.0170532	 0.000515073	 0.998914	 4.69028	 0.0124174	 0.167135	 23.2917	 7.14789	 	0.997806	0.0147157	0.186053	23.1674
372	 3.72-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.75428	 -20.7578	 7.3216	 0.017121	 0.000516917	 0.998906	 4.66605	 0.0124829	 0.166985	 23.2702	 7.17845	 	0.997795	0.0145738	0.185844	23.0956
373	 3.73-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.73731	 -20.6817	 7.31445	 0.0171894	 0.000518776	 0.998898	 4.64203	 0.012549	 0.166836	 23.2487	 7.20898	 	0.997785	0.0144333	0.185636	23.0235
374	 3.74-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.72052	 -20.6058	 7.30727	 0.0172584	 0.000520649	 0.99889	 4.61821	 0.0126158	 0.166685	 23.227	 7.23947	 	0.997775	0.0142943	0.18543	22.9511
375	 3.75-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.70389	 -20.53	 7.30006	 0.017328	 0.000522537	 0.998882	 4.5946	 0.0126831	 0.166534	 23.2053	 7.26992	 	0.997764	0.0141566	0.185224	22.8784
376	 3.76-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.68743	 -20.4544	 7.29283	 0.0173981	 0.00052444	 0.998874	 4.57118	 0.012751	 0.166383	 23.1835	 7.30033	 	0.997754	0.0140204	0.18502	22.8054
377	 3.77-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.67114	 -20.3789	 7.28556	 0.0174688	 0.000526358	 0.998866	 4.54797	 0.0128196	 0.166231	 23.1616	 7.33071	 	0.997743	0.0138856	0.184817	22.7321
378	 3.78-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.65501	 -20.3035	 7.27826	 0.0175401	 0.000528291	 0.998857	 4.52496	 0.0128887	 0.166079	 23.1396	 7.36104	 	0.997732	0.0137521	0.184615	22.6585
379	 3.79-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.63905	 -20.2284	 7.27093	 0.017612	 0.000530239	 0.998849	 4.50214	 0.0129585	 0.165926	 23.1175	 7.39132	 	0.997722	0.0136199	0.184414	22.5846
380	 3.8-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.62325	 -20.1533	 7.26357	 0.0176844	 0.000532202	 0.99884	 4.47952	 0.013029	 0.165773	 23.0954	 7.42156	 	0.997711	0.0134891	0.184215	22.5103
381	 3.81-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.60761	 -20.0784	 7.25618	 0.0177575	 0.00053418	 0.998832	 4.4571	 0.0131	 0.165619	 23.0731	 7.45175	 	0.9977	0.0133597	0.184017	22.4358
382	 3.82-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.59212	 -20.0037	 7.24876	 0.0178312	 0.000536174	 0.998823	 4.43487	 0.0131717	 0.165465	 23.0507	 7.48189	 	0.997688	0.0132315	0.18382	22.361
383	 3.83-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.5768	 -19.9291	 7.24131	 0.0179055	 0.000538184	 0.998814	 4.41283	 0.0132441	 0.165311	 23.0283	 7.51198	 	0.997677	0.0131047	0.183624	22.2859
384	 3.84-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.56163	 -19.8547	 7.23384	 0.0179803	 0.000540209	 0.998805	 4.39099	 0.0133171	 0.165155	 23.0058	 7.54201	 	0.997666	0.0129791	0.183429	22.2105
385	 3.85-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.54661	 -19.7805	 7.22633	 0.0180558	 0.00054225	 0.998796	 4.36933	 0.0133907	 0.165	 22.9831	 7.57199	 	0.997654	0.0128548	0.183236	22.1347
386	 3.86-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.53175	 -19.7064	 7.21879	 0.0181319	 0.000544307	 0.998787	 4.34787	 0.013465	 0.164844	 22.9604	 7.60192	 	0.997643	0.0127318	0.183044	22.0587
387	 3.87-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.51704	 -19.6324	 7.21122	 0.0182087	 0.00054638	 0.998778	 4.3266	 0.01354	 0.164687	 22.9376	 7.63178	 	0.997631	0.0126101	0.182853	21.9824
388	 3.88-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.50248	 -19.5586	 7.20363	 0.018286	 0.000548469	 0.998768	 4.30551	 0.0136157	 0.16453	 22.9147	 7.66158	 	0.997619	0.0124895	0.182664	21.9058
389	 3.89-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.48806	 -19.485	 7.196	 0.018364	 0.000550574	 0.998759	 4.28461	 0.013692	 0.164373	 22.8917	 7.69132	 	0.997607	0.0123702	0.182475	21.8289
390	 3.9-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.4738	 -19.4116	 7.18835	 0.0184427	 0.000552695	 0.998749	 4.2639	 0.013769	 0.164215	 22.8687	 7.72099	 	0.997595	0.0122521	0.182288	21.7517
391	 3.91-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.45968	 -19.3383	 7.18066	 0.018522	 0.000554833	 0.99874	 4.24337	 0.0138467	 0.164056	 22.8455	 7.7506	 	0.997583	0.0121352	0.182102	21.6742
392	 3.92-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.4457	 -19.2651	 7.17295	 0.0186019	 0.000556987	 0.99873	 4.22302	 0.0139251	 0.163897	 22.8222	 7.78014	 	0.997571	0.0120195	0.181918	21.5964
393	 3.93-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.43186	 -19.1922	 7.16521	 0.0186825	 0.000559158	 0.99872	 4.20286	 0.0140042	 0.163738	 22.7989	 7.80961	 	0.997559	0.011905	0.181734	21.5183
394	 3.94-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.41817	 -19.1194	 7.15743	 0.0187637	 0.000561346	 0.99871	 4.18288	 0.014084	 0.163578	 22.7755	 7.83901	 	0.997546	0.0117917	0.181552	21.4399
395	 3.95-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.40461	 -19.0467	 7.14963	 0.0188456	 0.000563551	 0.9987	 4.16308	 0.0141645	 0.163418	 22.752	 7.86833	 	0.997534	0.0116795	0.181372	21.3612
396	 3.96-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.39119	 -18.9742	 7.1418	 0.0189282	 0.000565772	 0.99869	 4.14346	 0.0142458	 0.163257	 22.7284	 7.89758	 	0.997521	0.0115684	0.181192	21.2822
397	 3.97-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.37791	 -18.9019	 7.13394	 0.0190114	 0.000568011	 0.998679	 4.12402	 0.0143277	 0.163096	 22.7047	 7.92675	 	0.997508	0.0114585	0.181014	21.2029
398	 3.98-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.36477	 -18.8298	 7.12606	 0.0190953	 0.000570266	 0.998669	 4.10475	 0.0144104	 0.162935	 22.6809	 7.95584	 	0.997495	0.0113497	0.180837	21.1234
399	 3.99-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.35176	 -18.7578	 7.11814	 0.0191799	 0.000572539	 0.998658	 4.08567	 0.0144938	 0.162773	 22.657	 7.98485	 	0.997482	0.011242	0.180661	21.0435
400	 4-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.33888	 -18.686	 7.11019	 0.0192651	 0.00057483	 0.998647	 4.06676	 0.014578	 0.162611	 22.6331	 8.01378	 	0.997469	0.0111355	0.180487	20.9634
401	 4.01-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.32613	 -18.6144	 7.10222	 0.0193511	 0.000577137	 0.998637	 4.04802	 0.0146629	 0.162448	 22.609	 8.04262	 	0.997456	0.01103	0.180314	20.883
402	 4.02-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.31352	 -18.543	 7.09422	 0.0194378	 0.000579463	 0.998626	 4.02946	 0.0147485	 0.162284	 22.5849	 8.07138	 	0.997442	0.0109255	0.180142	20.8023
403	 4.03-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.30103	 -18.4717	 7.08619	 0.0195251	 0.000581806	 0.998614	 4.01107	 0.0148349	 0.162121	 22.5607	 8.10004	 	0.997429	0.0108222	0.179972	20.7213
404	 4.04-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.28867	 -18.4006	 7.07813	 0.0196132	 0.000584167	 0.998603	 3.99285	 0.0149221	 0.161957	 22.5364	 8.12862	 	0.997415	0.0107199	0.179803	20.64
405	 4.05-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.27644	 -18.3297	 7.07004	 0.019702	 0.000586546	 0.998592	 3.97481	 0.01501	 0.161792	 22.512	 8.1571	 	0.997402	0.0106187	0.179635	20.5584
406	 4.06-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.26433	 -18.259	 7.06193	 0.0197914	 0.000588944	 0.99858	 3.95694	 0.0150988	 0.161627	 22.4875	 8.18549	 	0.997388	0.0105184	0.179469	20.4765
407	 4.07-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.25235	 -18.1884	 7.05379	 0.0198816	 0.000591359	 0.998569	 3.93923	 0.0151882	 0.161462	 22.463	 8.21379	 	0.997374	0.0104193	0.179303	20.3944
408	 4.08-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.24049	 -18.118	 7.04562	 0.0199726	 0.000593793	 0.998557	 3.92169	 0.0152785	 0.161296	 22.4383	 8.24199	 	0.997359	0.0103211	0.17914	20.312
409	 4.09-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.22875	 -18.0478	 7.03742	 0.0200642	 0.000596245	 0.998545	 3.90433	 0.0153696	 0.16113	 22.4136	 8.27008	 	0.997345	0.0102239	0.178977	20.2293
410	 4.1-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.21713	 -17.9778	 7.02919	 0.0201566	 0.000598715	 0.998533	 3.88713	 0.0154614	 0.160964	 22.3888	 8.29808	 	0.997331	0.0101278	0.178816	20.1463
411	 4.11-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.20563	 -17.908	 7.02094	 0.0202498	 0.000601204	 0.998521	 3.87009	 0.0155541	 0.160797	 22.3639	 8.32598	 	0.997316	0.0100326	0.178656	20.063
412	 4.12-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.19424	 -17.8384	 7.01266	 0.0203437	 0.000603713	 0.998508	 3.85322	 0.0156476	 0.16063	 22.3389	 8.35376	 	0.997302	0.0099384	0.178498	19.9795
413	 4.13-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.18298	 -17.7689	 7.00435	 0.0204383	 0.000606239	 0.998496	 3.83652	 0.0157419	 0.160462	 22.3139	 8.38145	 	0.997287	0.00984516	0.178341	19.8957
414	 4.14-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.17183	 -17.6997	 6.99602	 0.0205337	 0.000608785	 0.998483	 3.81998	 0.015837	 0.160294	 22.2887	 8.40902	 	0.997272	0.00975289	0.178185	19.8116
415	 4.15-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.16079	 -17.6306	 6.98765	 0.0206298	 0.00061135	 0.99847	 3.8036	 0.0159329	 0.160126	 22.2635	 8.43648	 	0.997257	0.00966156	0.17803	19.7272
416	 4.16-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.14987	 -17.5617	 6.97926	 0.0207267	 0.000613935	 0.998457	 3.78738	 0.0160297	 0.159957	 22.2382	 8.46384	 	0.997241	0.00957118	0.177877	19.6426
417	 4.17-54.4	 0.3	 1	 -85	 36	 35	 120	 0	 1.13906	 -17.493	 6.97085	 0.0208244	 0.000616538	 0.998444	 3.77133	 0.0161273	 0.159788	 22.2128	 8.49107	 	0.997226	0.00948172	0.177726	19.5577
