iteration	t(ms)	m	h	n	V(mV)	E_L(mV)	g_L(mS_per_cm2)	Cm(microF_per_cm2)	E_K(mV)	g_K(milliS_per_cm2)	E_Na(mV)	g_Na(mS_per_cm2)	i_stim(microA_per_cm2)	Na_conductance(mS_per_cm2)	i_Na(microA_per_cm2)	alpha_m(per_ms)	beta_m(per_ms)	alpha_h(per_ms)	beta_h(per_ms)	i_K(microA_per_cm2)	alpha_n(per_ms)	beta_n(per_ms)	i_L(microA_per_cm2)	i_tot(microA_per_cm2)
24	0.24	0.051638828	0.599951111	0.324628986	-75.12072545	-64.387	0.3	1	-87	36	40	120	0	0.009898941	-1.139534268	0.221769905	4.026037879	0.070409963	0.046901032	4.751942362	0.057803133	0.125182619	-3.218937223	0.393470871
25	0.25	0.051661984	0.599951563	0.324612883	-75.12460611	-64.387	0.3	1	-87	36	40	120	0	0.009913483	-1.141247308	0.221709689	4.026918047	0.070423817	0.046883446	4.749431179	0.057789876	0.125188776	-3.220117636	0.388066235
26	0.26	0.051683144	0.599952173	0.324596701	-75.12843445	-64.387	0.3	1	-87	36	40	120	0	0.009926832	-1.142822616	0.221650314	4.027786313	0.070437483	0.046866108	4.746937668	0.057776805	0.125194849	-3.221281834	0.382833217
27	0.27	0.051702406	0.599952939	0.324580443	-75.13221209	-64.387	0.3	1	-87	36	40	120	0	0.009939045	-1.144266648	0.221591753	4.028643054	0.070450967	0.04684901	4.744461235	0.057763911	0.12520084	-3.222430334	0.377764253
28	0.28	0.051719865	0.599953858	0.324564109	-75.13594061	-64.387	0.3	1	-87	36	40	120	0	0.009950174	-1.145585598	0.221533981	4.02948863	0.070464275	0.046832144	4.742001313	0.057751191	0.125206752	-3.223563627	0.372852089
29	0.29	0.051735609	0.599954929	0.324547701	-75.13962151	-64.387	0.3	1	-87	36	40	120	0	0.009960273	-1.146785406	0.221476973	4.030323385	0.070477413	0.046815503	4.73955736	0.057738638	0.125212588	-3.224682183	0.368089771
30	0.3	0.051749724	0.599956149	0.324531221	-75.14325621	-64.387	0.3	1	-87	36	40	120	0	0.00996939	-1.147871767	0.221420706	4.031147648	0.070490385	0.046799081	4.737128861	0.057726247	0.125218349	-3.225786452	0.363470641
31	0.31	0.051762291	0.599957516	0.32451467	-75.1468461	-64.387	0.3	1	-87	36	40	120	0	0.009977572	-1.148850139	0.221365157	4.031961732	0.070503197	0.046782869	4.734715323	0.057714014	0.125224038	-3.226876864	0.35898832
32	0.32	0.051773387	0.599959028	0.32449805	-75.15039246	-64.387	0.3	1	-87	36	40	120	0	0.009984865	-1.149725749	0.221310305	4.032765939	0.070515853	0.046766863	4.732316279	0.057701933	0.125229658	-3.227953829	0.354636701
33	0.33	0.051783085	0.599960683	0.324481361	-75.15389656	-64.387	0.3	1	-87	36	40	120	0	0.009991313	-1.150503603	0.221256129	4.033560554	0.070528358	0.046751056	4.729931282	0.057690001	0.125235209	-3.229017739	0.35040994
