iteration	t(ms)	m	h	n	V(mV)	E_L(mV)	g_L(mS_per_cm2)	Cm(microF_per_cm2)	E_K(mV)	g_K(milliS_per_cm2)	E_Na(mV)	g_Na(mS_per_cm2)	i_stim(microA_per_cm2)	Na_conductance(mS_per_cm2)	i_Na(microA_per_cm2)	alpha_m(per_ms)	beta_m(per_ms)	alpha_h(per_ms)	beta_h(per_ms)	i_K(microA_per_cm2)	alpha_n(per_ms)	beta_n(per_ms)	i_L(microA_per_cm2)	i_tot(microA_per_cm2)
445	4.45	0.050708139	0.603737436	0.317681748	-75.34134729	-64.387	0.3	1	-87	36	40	120	0	0.009443071	-1.089186054	0.218340781	4.076807076	0.071208558	0.045902971	4.274986618	0.05704695	0.125536076	-3.286606605	-0.100806041
446	4.46	0.050713817	0.603742435	0.317672213	-75.34033715	-64.387	0.3	1	-87	36	40	120	0	0.009446314	-1.089550534	0.218356003	4.076578768	0.071204969	0.045907386	4.274840563	0.057050312	0.125534495	-3.286304186	-0.101014158
447	4.47	0.050719513	0.603747386	0.317662723	-75.33932495	-64.387	0.3	1	-87	36	40	120	0	0.009449566	-1.089916094	0.218371257	4.076350001	0.071201373	0.045911811	4.274697675	0.057053682	0.12553291	-3.286001144	-0.101219563
448	4.48	0.050725225	0.603752291	0.317653278	-75.33831073	-64.387	0.3	1	-87	36	40	120	0	0.009452827	-1.090282723	0.218386543	4.076120782	0.071197769	0.045916245	4.274557943	0.057057058	0.125531321	-3.285697485	-0.101422265
449	4.49	0.050730954	0.603757149	0.317643879	-75.33729451	-64.387	0.3	1	-87	36	40	120	0	0.009456098	-1.090650411	0.218401861	4.075891116	0.071194159	0.045920688	4.274421356	0.057060442	0.12552973	-3.285393219	-0.101622274
450	4.5	0.050736699	0.60376196	0.317634525	-75.33627631	-64.387	0.3	1	-87	36	40	120	0	0.009459379	-1.091019149	0.21841721	4.075661011	0.071190542	0.04592514	4.274287902	0.057063832	0.125528135	-3.285088352	-0.101819599
451	4.51	0.05074246	0.603766724	0.317625216	-75.33525617	-64.387	0.3	1	-87	36	40	120	0	0.009462668	-1.091388925	0.218432589	4.075430472	0.071186917	0.045929602	4.274157568	0.057067229	0.125526538	-3.284782893	-0.10201425
452	4.52	0.050748238	0.603771442	0.317615953	-75.3342341	-64.387	0.3	1	-87	36	40	120	0	0.009465967	-1.091759731	0.218447999	4.075199505	0.071183286	0.045934072	4.274030345	0.057070633	0.125524937	-3.28447685	-0.102206236
453	4.53	0.050754032	0.603776112	0.317606735	-75.33321015	-64.387	0.3	1	-87	36	40	120	0	0.009469275	-1.092131555	0.218463439	4.074968117	0.071179649	0.045938552	4.27390622	0.057074043	0.125523333	-3.284170231	-0.102395566
454	4.54	0.050759841	0.603780735	0.317597562	-75.33218433	-64.387	0.3	1	-87	36	40	120	0	0.009472592	-1.092504389	0.218478908	4.074736313	0.071176005	0.04594304	4.273785183	0.05707746	0.125521727	-3.283863045	-0.102582251
455	4.55	0.050765666	0.603785311	0.317588435	-75.33115666	-64.387	0.3	1	-87	36	40	120	0	0.009475917	-1.092878221	0.218494407	4.0745041	0.071172354	0.045947536	4.27366722	0.057080883	0.125520117	-3.283555298	-0.102766299
456	4.56	0.050771506	0.603789841	0.317579352	-75.33012719	-64.387	0.3	1	-87	36	40	120	0	0.009479252	-1.093253043	0.218509934	4.074271483	0.071168697	0.045952041	4.273552322	0.057084312	0.125518505	-3.283246999	-0.10294772
457	4.57	0.050777362	0.603794323	0.317570315	-75.32909592	-64.387	0.3	1	-87	36	40	120	0	0.009482595	-1.093628844	0.218525489	4.074038469	0.071165034	0.045956555	4.273440476	0.057087748	0.125516889	-3.282938156	-0.103126524
458	4.58	0.050783232	0.603798758	0.317561323	-75.32806289	-64.387	0.3	1	-87	36	40	120	0	0.009485946	-1.094005614	0.218541073	4.073805064	0.071161365	0.045961077	4.273331671	0.057091189	0.125515271	-3.282628776	-0.103302719
459	4.59	0.050789118	0.603803146	0.317552376	-75.32702813	-64.387	0.3	1	-87	36	40	120	0	0.009489307	-1.094383343	0.218556684	4.073571273	0.071157689	0.045965607	4.273225896	0.057094637	0.125513651	-3.282318868	-0.103476315
460	4.6	0.050795018	0.603807486	0.317543475	-75.32599166	-64.387	0.3	1	-87	36	40	120	0	0.009492675	-1.094762022	0.218572323	4.073337103	0.071154008	0.045970144	4.273123139	0.057098091	0.125512027	-3.282008439	-0.103647322
461	4.61	0.050800933	0.60381178	0.317534618	-75.3249535	-64.387	0.3	1	-87	36	40	120	0	0.009496052	-1.09514164	0.218587988	4.07310256	0.07115032	0.04597469	4.273023389	0.057101551	0.125510401	-3.281697497	-0.103815748
462	4.62	0.050806862	0.603816026	0.317525806	-75.32391368	-64.387	0.3	1	-87	36	40	120	0	0.009499438	-1.095522189	0.21860368	4.072867649	0.071146627	0.045979244	4.272926634	0.057105016	0.125508772	-3.28138605	-0.103981604
463	4.63	0.050812806	0.603820226	0.317517039	-75.32287224	-64.387	0.3	1	-87	36	40	120	0	0.009502831	-1.095903657	0.218619397	4.072632376	0.071142928	0.045983805	4.272832864	0.057108487	0.125507141	-3.281074105	-0.104144899
464	4.64	0.050818764	0.603824378	0.317508317	-75.32182918	-64.387	0.3	1	-87	36	40	120	0	0.009506233	-1.096286036	0.218635141	4.072396747	0.071139224	0.045988374	4.272742066	0.057111964	0.125505507	-3.280761671	-0.104305641
465	4.65	0.050824735	0.603828483	0.31749964	-75.32078454	-64.387	0.3	1	-87	36	40	120	0	0.009509642	-1.096669316	0.218650909	4.072160769	0.071135514	0.045992951	4.272654229	0.057115446	0.125503871	-3.280448754	-0.104463841
466	4.66	0.050830721	0.60383254	0.317491008	-75.31973835	-64.387	0.3	1	-87	36	40	120	0	0.00951306	-1.097053487	0.218666703	4.071924446	0.071131798	0.045997535	4.272569342	0.057118933	0.125502232	-3.280135362	-0.104619507
467	4.67	0.05083672	0.603836551	0.31748242	-75.31869062	-64.387	0.3	1	-87	36	40	120	0	0.009516485	-1.097438539	0.218682521	4.071687784	0.071128077	0.046002126	4.272487393	0.057122427	0.125500591	-3.279821504	-0.104772649
468	4.68	0.050842732	0.603840514	0.317473878	-75.31764139	-64.387	0.3	1	-87	36	40	120	0	0.009519918	-1.097824463	0.218698363	4.07145079	0.071124351	0.046006724	4.272408372	0.057125925	0.125498947	-3.279507186	-0.104923276
469	4.69	0.050848758	0.60384443	0.31746538	-75.31659067	-64.387	0.3	1	-87	36	40	120	0	0.009523359	-1.098211249	0.218714229	4.07121347	0.07112062	0.046011329	4.272332266	0.057129428	0.125497301	-3.279192416	-0.105071398
470	4.7	0.050854797	0.603848299	0.317456927	-75.3155385	-64.387	0.3	1	-87	36	40	120	0	0.009526807	-1.098598887	0.218730119	4.070975828	0.071116884	0.046015942	4.272259065	0.057132937	0.125495653	-3.278877202	-0.105217024
471	4.71	0.050860849	0.603852121	0.317448518	-75.3144849	-64.387	0.3	1	-87	36	40	120	0	0.009530263	-1.098987369	0.218746031	4.07073787	0.071113143	0.046020561	4.272188757	0.057136451	0.125494002	-3.278561551	-0.105360162
472	4.72	0.050866914	0.603855895	0.317440154	-75.31342989	-64.387	0.3	1	-87	36	40	120	0	0.009533726	-1.099376684	0.218761966	4.070499603	0.071109397	0.046025187	4.272121331	0.057139969	0.12549235	-3.27824547	-0.105500823
473	4.73	0.050872991	0.603859622	0.317431835	-75.3123735	-64.387	0.3	1	-87	36	40	120	0	0.009537196	-1.099766822	0.218777924	4.070261031	0.071105646	0.046029819	4.272056775	0.057143493	0.125490695	-3.277928968	-0.105639015
474	4.74	0.050879081	0.603863302	0.31742356	-75.31131575	-64.387	0.3	1	-87	36	40	120	0	0.009540674	-1.100157776	0.218793903	4.070022162	0.07110189	0.046034458	4.271995078	0.057147021	0.125489038	-3.277612051	-0.105774748
475	4.75	0.050885184	0.603866934	0.31741533	-75.31025667	-64.387	0.3	1	-87	36	40	120	0	0.009544159	-1.100549534	0.218809904	4.069782999	0.07109813	0.046039103	4.271936229	0.057150554	0.125487379	-3.277294726	-0.105908031
476	4.76	0.050891298	0.603870519	0.317407144	-75.30919629	-64.387	0.3	1	-87	36	40	120	0	0.009547651	-1.100942088	0.218825926	4.069543549	0.071094365	0.046043755	4.271880217	0.057154091	0.125485717	-3.276977002	-0.106038873
477	4.77	0.050897425	0.603874057	0.317399003	-75.30813461	-64.387	0.3	1	-87	36	40	120	0	0.00955115	-1.101335428	0.218841969	4.069303817	0.071090595	0.046048413	4.271827029	0.057157633	0.125484054	-3.276658886	-0.106167284
478	4.78	0.050903563	0.603877548	0.317390906	-75.30707168	-64.387	0.3	1	-87	36	40	120	0	0.009554656	-1.101729545	0.218858032	4.069063809	0.071086822	0.046053077	4.271776656	0.05716118	0.125482389	-3.276340384	-0.106293272
479	4.79	0.050909714	0.603880992	0.317382853	-75.30600751	-64.387	0.3	1	-87	36	40	120	0	0.009558169	-1.102124429	0.218874116	4.068823531	0.071083044	0.046057747	4.271729086	0.057164731	0.125480722	-3.276021504	-0.106416847
480	4.8	0.050915876	0.603884388	0.317374844	-75.30494213	-64.387	0.3	1	-87	36	40	120	0	0.009561688	-1.102520071	0.218890219	4.068582987	0.071079262	0.046062422	4.271684307	0.057168286	0.125479052	-3.275702253	-0.106538017
481	4.81	0.050922049	0.603887737	0.31736688	-75.30387556	-64.387	0.3	1	-87	36	40	120	0	0.009565214	-1.102916462	0.218906341	4.068342184	0.071075476	0.046067104	4.271642309	0.057171845	0.125477381	-3.275382639	-0.106656793
482	4.82	0.050928233	0.603891039	0.31735896	-75.30280783	-64.387	0.3	1	-87	36	40	120	0	0.009568747	-1.103313593	0.218922483	4.068101126	0.071071685	0.046071791	4.271603079	0.057175409	0.125475708	-3.275062669	-0.106773183
483	4.83	0.050934429	0.603894293	0.317351084	-75.30173896	-64.387	0.3	1	-87	36	40	120	0	0.009572286	-1.103711454	0.218938643	4.06785982	0.071067891	0.046076484	4.271566607	0.057178977	0.125474034	-3.274742349	-0.106887196
484	4.84	0.050940636	0.603897501	0.317343252	-75.30066897	-64.387	0.3	1	-87	36	40	120	0	0.009575832	-1.104110036	0.218954822	4.06761827	0.071064093	0.046081182	4.271532882	0.057182548	0.125472357	-3.274421688	-0.106998842
485	4.85	0.050946853	0.603900661	0.317335464	-75.29959789	-64.387	0.3	1	-87	36	40	120	0	0.009579384	-1.10450933	0.218971018	4.067376483	0.071060291	0.046085886	4.271501892	0.057186124	0.125470679	-3.274100691	-0.107108129
486	4.86	0.050953081	0.603903774	0.317327721	-75.29852574	-64.387	0.3	1	-87	36	40	120	0	0.009582942	-1.104909327	0.218987232	4.067134463	0.071056486	0.046090595	4.271473627	0.057189703	0.125468999	-3.273779367	-0.107215066
487	4.87	0.05095932	0.603906839	0.317320021	-75.29745254	-64.387	0.3	1	-87	36	40	120	0	0.009586506	-1.105310017	0.219003463	4.066892216	0.071052677	0.046095309	4.271448074	0.057193286	0.125467318	-3.273457722	-0.107319664
488	4.88	0.050965569	0.603909858	0.317312365	-75.29637832	-64.387	0.3	1	-87	36	40	120	0	0.009590077	-1.105711391	0.219019711	4.066649746	0.071048864	0.046100028	4.271425224	0.057196873	0.125465635	-3.273135763	-0.10742193
489	4.89	0.050971829	0.603912829	0.317304753	-75.2953031	-64.387	0.3	1	-87	36	40	120	0	0.009593653	-1.106113441	0.219035976	4.066407061	0.071045048	0.046104752	4.271405064	0.057200463	0.12546395	-3.272813497	-0.107521874
490	4.9	0.050978098	0.603915753	0.317297184	-75.29422691	-64.387	0.3	1	-87	36	40	120	0	0.009597235	-1.106516157	0.219052257	4.066164164	0.071041229	0.046109481	4.271387584	0.057204057	0.125462264	-3.272490931	-0.107619504
491	4.91	0.050984377	0.60391863	0.31728966	-75.29314976	-64.387	0.3	1	-87	36	40	120	0	0.009600824	-1.10691953	0.219068554	4.065921061	0.071037406	0.046114215	4.271372772	0.057207654	0.125460576	-3.272168073	-0.107714831
492	4.92	0.050990666	0.60392146	0.317282179	-75.29207168	-64.387	0.3	1	-87	36	40	120	0	0.009604418	-1.107323551	0.219084866	4.065677757	0.071033581	0.046118953	4.271360617	0.057211255	0.125458887	-3.271844928	-0.107807862
493	4.93	0.050996965	0.603924243	0.317274741	-75.2909927	-64.387	0.3	1	-87	36	40	120	0	0.009608017	-1.107728212	0.219101193	4.065434257	0.071029752	0.046123696	4.271351109	0.057214859	0.125457196	-3.271521505	-0.107898608
494	4.94	0.051003273	0.603926978	0.317267348	-75.28991283	-64.387	0.3	1	-87	36	40	120	0	0.009611623	-1.108133502	0.219117535	4.065190568	0.07102592	0.046128444	4.271344235	0.057218466	0.125455504	-3.271197809	-0.107987076
495	4.95	0.051009591	0.603929667	0.317259998	-75.28883209	-64.387	0.3	1	-87	36	40	120	0	0.009615233	-1.108539414	0.219133892	4.064946693	0.071022085	0.046133195	4.271339986	0.057222076	0.125453811	-3.270873848	-0.108073276
496	4.96	0.051015918	0.603932308	0.317252691	-75.28775052	-64.387	0.3	1	-87	36	40	120	0	0.00961885	-1.108945938	0.219150262	4.064702638	0.071018247	0.046137951	4.271338349	0.05722569	0.125452116	-3.270549628	-0.108157217
497	4.97	0.051022254	0.603934903	0.317245428	-75.28666813	-64.387	0.3	1	-87	36	40	120	0	0.009622471	-1.109353066	0.219166647	4.064458408	0.071014407	0.046142711	4.271339314	0.057229306	0.12545042	-3.270225156	-0.108238907
498	4.98	0.051028598	0.60393745	0.317238208	-75.28558495	-64.387	0.3	1	-87	36	40	120	0	0.009626098	-1.109760787	0.219183045	4.064214008	0.071010564	0.046147476	4.27134287	0.057232925	0.125448722	-3.269900439	-0.108318356
499	4.99	0.051034952	0.60393995	0.317231031	-75.28450099	-64.387	0.3	1	-87	36	40	120	0	0.00962973	-1.110169095	0.219199456	4.063969444	0.071006718	0.046152244	4.271349006	0.057236547	0.125447024	-3.269575484	-0.108395573
500	5	0.051041314	0.603942404	0.317223898	-75.28341629	-64.387	0.3	1	-87	36	40	120	0	0.009633368	-1.110577979	0.21921588	4.06372472	0.071002869	0.046157016	4.27135771	0.057240172	0.125445324	-3.269250298	-0.108470567
501	5.01	0.051047685	0.60394481	0.317216808	-75.28233085	-64.387	0.3	1	-87	36	40	120	0	0.00963701	-1.110987432	0.219232316	4.063479842	0.070999019	0.046161792	4.271368972	0.0572438	0.125443623	-3.268924886	-0.108543345
502	5.02	0.051054064	0.603947169	0.317209761	-75.28124471	-64.387	0.3	1	-87	36	40	120	0	0.009640657	-1.111397443	0.219248764	4.063234814	0.070995166	0.046166571	4.271382781	0.05724743	0.125441921	-3.268599256	-0.108613918
503	5.03	0.051060451	0.603949482	0.317202757	-75.28015789	-64.387	0.3	1	-87	36	40	120	0	0.00964431	-1.111808005	0.219265224	4.062989641	0.07099131	0.046171354	4.271399125	0.057251062	0.125440218	-3.268273414	-0.108682295
504	5.04	0.051066846	0.603951747	0.317195796	-75.27907041	-64.387	0.3	1	-87	36	40	120	0	0.009647967	-1.112219109	0.219281696	4.062744329	0.070987453	0.046176141	4.271417994	0.057254698	0.125438514	-3.267947367	-0.108748483
505	5.05	0.051073249	0.603953966	0.317188878	-75.27798228	-64.387	0.3	1	-87	36	40	120	0	0.009651628	-1.112630746	0.219298178	4.062498882	0.070983593	0.046180931	4.271439376	0.057258335	0.125436809	-3.267621122	-0.108812492
506	5.06	0.05107966	0.603956138	0.317182003	-75.27689354	-64.387	0.3	1	-87	36	40	120	0	0.009655295	-1.113042907	0.219314672	4.062253306	0.070979731	0.046185724	4.271463261	0.057261975	0.125435103	-3.267294684	-0.108874331
507	5.07	0.051086078	0.603958263	0.31717517	-75.2758042	-64.387	0.3	1	-87	36	40	120	0	0.009658966	-1.113455584	0.219331176	4.062007605	0.070975867	0.04619052	4.271489637	0.057265617	0.125433396	-3.266968061	-0.108934008
508	5.08	0.051092504	0.603960341	0.317168381	-75.27471428	-64.387	0.3	1	-87	36	40	120	0	0.009662641	-1.113868768	0.21934769	4.061761784	0.070972001	0.04619532	4.271518495	0.057269261	0.125431688	-3.266641259	-0.108991533
509	5.09	0.051098938	0.603962373	0.317161634	-75.27362381	-64.387	0.3	1	-87	36	40	120	0	0.009666322	-1.11428245	0.219364214	4.061515849	0.070968134	0.046200122	4.271549822	0.057272908	0.125429979	-3.266314285	-0.109046913
510	5.1	0.051105378	0.603964358	0.31715493	-75.27253281	-64.387	0.3	1	-87	36	40	120	0	0.009670006	-1.114696622	0.219380747	4.061269803	0.070964264	0.046204928	4.271583607	0.057276556	0.125428269	-3.265987144	-0.109100159
511	5.11	0.051111826	0.603966296	0.317148269	-75.2714413	-64.387	0.3	1	-87	36	40	120	0	0.009673695	-1.115111276	0.219397289	4.061023652	0.070960393	0.046209736	4.271619841	0.057280206	0.125426559	-3.265659844	-0.109151278
512	5.12	0.05111828	0.603968187	0.31714165	-75.2703493	-64.387	0.3	1	-87	36	40	120	0	0.009677387	-1.115526402	0.219413841	4.060777401	0.070956521	0.046214547	4.271658512	0.057283858	0.125424847	-3.26533239	-0.10920028
513	5.13	0.051124741	0.603970032	0.317135073	-75.26925682	-64.387	0.3	1	-87	36	40	120	0	0.009681085	-1.115941992	0.2194304	4.060531054	0.070952647	0.046219361	4.271699608	0.057287513	0.125423135	-3.265004789	-0.109247173
514	5.14	0.051131209	0.60397183	0.317128539	-75.2681639	-64.387	0.3	1	-87	36	40	120	0	0.009684786	-1.116358038	0.219446968	4.060284616	0.070948771	0.046224177	4.27174312	0.057291168	0.125421423	-3.264677047	-0.109291965
515	5.15	0.051137684	0.603973582	0.317122048	-75.26707056	-64.387	0.3	1	-87	36	40	120	0	0.009688491	-1.116774532	0.219463544	4.060038092	0.070944894	0.046228996	4.271789037	0.057294826	0.125419709	-3.264349171	-0.109334667
516	5.16	0.051144165	0.603975287	0.317115598	-75.26597681	-64.387	0.3	1	-87	36	40	120	0	0.0096922	-1.117191464	0.219480128	4.059791487	0.070941016	0.046233817	4.271837346	0.057298485	0.125417995	-3.264021167	-0.109375285
517	5.17	0.051150652	0.603976946	0.317109191	-75.26488267	-64.387	0.3	1	-87	36	40	120	0	0.009695913	-1.117608827	0.219496718	4.059544805	0.070937136	0.04623864	4.271888039	0.057302145	0.12541628	-3.263693042	-0.10941383
518	5.18	0.051157145	0.603978558	0.317102826	-75.26378816	-64.387	0.3	1	-87	36	40	120	0	0.009699629	-1.118026611	0.219513316	4.059298051	0.070933256	0.046243465	4.271941103	0.057305808	0.125414565	-3.2633648	-0.109450309
519	5.19	0.051163644	0.603980124	0.317096503	-75.26269332	-64.387	0.3	1	-87	36	40	120	0	0.009703349	-1.118444809	0.21952992	4.05905123	0.070929374	0.046248293	4.271996528	0.057309471	0.125412849	-3.263036449	-0.109484731
520	5.2	0.05117015	0.603981643	0.317090222	-75.26159815	-64.387	0.3	1	-87	36	40	120	0	0.009707073	-1.118863413	0.219546531	4.058804346	0.070925491	0.046253123	4.272054303	0.057313136	0.125411133	-3.262707995	-0.109517105
521	5.21	0.05117666	0.603983116	0.317083983	-75.26050267	-64.387	0.3	1	-87	36	40	120	0	0.009710801	-1.119282414	0.219563147	4.058557405	0.070921608	0.046257954	4.272114417	0.057316802	0.125409416	-3.262379444	-0.10954744
522	5.22	0.051183177	0.603984543	0.317077786	-75.25940691	-64.387	0.3	1	-87	36	40	120	0	0.009714532	-1.119701803	0.21957977	4.05831041	0.070917723	0.046262787	4.27217686	0.057320469	0.125407699	-3.262050801	-0.109575744
523	5.23	0.051189698	0.603985923	0.317071631	-75.25831089	-64.387	0.3	1	-87	36	40	120	0	0.009718266	-1.120121572	0.219596397	4.058063366	0.070913838	0.046267622	4.272241621	0.057324138	0.125405981	-3.261722074	-0.109602025
524	5.24	0.051196226	0.603987258	0.317065518	-75.25721463	-64.387	0.3	1	-87	36	40	120	0	0.009722004	-1.120541714	0.21961303	4.057816278	0.070909952	0.046272459	4.272308689	0.057327807	0.125404263	-3.261393268	-0.109626293
525	5.25	0.051202758	0.603988546	0.317059446	-75.25611814	-64.387	0.3	1	-87	36	40	120	0	0.009725744	-1.12096222	0.219629668	4.05756915	0.070906065	0.046277297	4.272378053	0.057331478	0.125402545	-3.261064389	-0.109648556
526	5.26	0.051209295	0.603989788	0.317053416	-75.25502146	-64.387	0.3	1	-87	36	40	120	0	0.009729489	-1.121383081	0.21964631	4.057321987	0.070902178	0.046282137	4.272449702	0.057335149	0.125400826	-3.260735443	-0.109668822
527	5.27	0.051215838	0.603990983	0.317047427	-75.25392459	-64.387	0.3	1	-87	36	40	120	0	0.009733236	-1.12180429	0.219662956	4.057074794	0.07089829	0.046286978	4.272523627	0.057338821	0.125399107	-3.260406437	-0.109687101
528	5.28	0.051222385	0.603992133	0.31704148	-75.25282755	-64.387	0.3	1	-87	36	40	120	0	0.009736986	-1.122225838	0.219679606	4.056827574	0.070894402	0.04629182	4.272599815	0.057342494	0.125397387	-3.260077376	-0.109703399
529	5.29	0.051228936	0.603993237	0.317035574	-75.25173037	-64.387	0.3	1	-87	36	40	120	0	0.009740739	-1.122647718	0.21969626	4.056580333	0.070890513	0.046296664	4.272678256	0.057346168	0.125395668	-3.259748266	-0.109717727
530	5.3	0.051235493	0.603994295	0.31702971	-75.25063307	-64.387	0.3	1	-87	36	40	120	0	0.009744495	-1.123069921	0.219712916	4.056333075	0.070886624	0.046301508	4.272758941	0.057349842	0.125393948	-3.259419112	-0.109730092
531	5.31	0.051242053	0.603995307	0.317023887	-75.24953567	-64.387	0.3	1	-87	36	40	120	0	0.009748254	-1.123492438	0.219729576	4.056085803	0.070882735	0.046306354	4.272841857	0.057353517	0.125392228	-3.259089922	-0.109740504
532	5.32	0.051248618	0.603996273	0.317018105	-75.24843818	-64.387	0.3	1	-87	36	40	120	0	0.009752016	-1.123915263	0.219746239	4.055838524	0.070878846	0.046311201	4.272926994	0.057357193	0.125390508	-3.258760701	-0.109748969
533	5.33	0.051255187	0.603997193	0.317012364	-75.24734062	-64.387	0.3	1	-87	36	40	120	0	0.00975578	-1.124338387	0.219762904	4.05559124	0.070874957	0.046316048	4.273014342	0.057360869	0.125388788	-3.258431454	-0.109755498
534	5.34	0.051261761	0.603998068	0.317006664	-75.24624302	-64.387	0.3	1	-87	36	40	120	0	0.009759547	-1.124761801	0.219779571	4.055343957	0.070871067	0.046320896	4.27310389	0.057364545	0.125387068	-3.258102187	-0.109760098
535	5.35	0.051268338	0.603998897	0.317001005	-75.2451454	-64.387	0.3	1	-87	36	40	120	0	0.009763316	-1.125185499	0.21979624	4.055096678	0.070867178	0.046325745	4.273195627	0.057368222	0.125385347	-3.257772907	-0.109762778
536	5.36	0.051274918	0.60399968	0.316995387	-75.24404776	-64.387	0.3	1	-87	36	40	120	0	0.009767088	-1.125609471	0.21981291	4.054849409	0.070863289	0.046330595	4.273289544	0.057371899	0.125383627	-3.257443619	-0.109763546
537	5.37	0.051281503	0.604000417	0.31698981	-75.24295014	-64.387	0.3	1	-87	36	40	120	0	0.009770862	-1.126033711	0.219829581	4.054602153	0.0708594	0.046335445	4.273385628	0.057375576	0.125381907	-3.257114328	-0.109762411
538	5.38	0.051288091	0.604001109	0.316984274	-75.24185254	-64.387	0.3	1	-87	36	40	120	0	0.009774639	-1.126458209	0.219846254	4.054354914	0.070855511	0.046340295	4.273483869	0.057379254	0.125380187	-3.256785041	-0.10975938
539	5.39	0.051294682	0.604001756	0.316978779	-75.240755	-64.387	0.3	1	-87	36	40	120	0	0.009778418	-1.126882959	0.219862927	4.054107698	0.070851623	0.046345146	4.273584258	0.057382931	0.125378466	-3.256455763	-0.109754463
540	5.4	0.051301277	0.604002357	0.316973324	-75.23965752	-64.387	0.3	1	-87	36	40	120	0	0.009782199	-1.127307952	0.219879601	4.053860507	0.070847735	0.046349997	4.273686783	0.057386609	0.125376746	-3.256126499	-0.109747668
541	5.41	0.051307874	0.604002912	0.316967909	-75.23856013	-64.387	0.3	1	-87	36	40	120	0	0.009785982	-1.127733181	0.219896274	4.053613347	0.070843847	0.046354848	4.273791434	0.057390286	0.125375026	-3.255797256	-0.109739003
542	5.42	0.051314475	0.604003422	0.316962535	-75.23746285	-64.387	0.3	1	-87	36	40	120	0	0.009789767	-1.128158637	0.219912947	4.053366222	0.07083996	0.0463597	4.2738982	0.057393964	0.125373307	-3.255468039	-0.109728476
543	5.43	0.051321079	0.604003887	0.316957202	-75.23636568	-64.387	0.3	1	-87	36	40	120	0	0.009793554	-1.128584313	0.21992962	4.053119135	0.070836074	0.046364551	4.274007071	0.057397641	0.125371587	-3.255138854	-0.109716096
544	5.44	0.051327685	0.604004307	0.316951908	-75.23526867	-64.387	0.3	1	-87	36	40	120	0	0.009797343	-1.129010201	0.219946292	4.052872091	0.070832188	0.046369403	4.274118036	0.057401318	0.125369868	-3.254809705	-0.109701871
545	5.45	0.051334294	0.604004682	0.316946655	-75.23417181	-64.387	0.3	1	-87	36	40	120	0	0.009801134	-1.129436294	0.219962963	4.052625094	0.070828303	0.046374254	4.274231085	0.057404994	0.125368148	-3.2544806	-0.109685809
546	5.46	0.051340906	0.604005011	0.316941442	-75.23307513	-64.387	0.3	1	-87	36	40	120	0	0.009804926	-1.129862583	0.219979633	4.052378149	0.070824418	0.046379105	4.274346207	0.05740867	0.125366429	-3.254151542	-0.109667919
547	5.47	0.05134752	0.604005295	0.31693627	-75.23197865	-64.387	0.3	1	-87	36	40	120	0	0.009808721	-1.130289061	0.219996301	4.052131259	0.070820535	0.046383955	4.274463391	0.057412346	0.125364711	-3.253822539	-0.109648208
548	5.48	0.051354136	0.604005535	0.316931137	-75.23088238	-64.387	0.3	1	-87	36	40	120	0	0.009812517	-1.13071572	0.220012967	4.051884428	0.070816652	0.046388806	4.274582628	0.057416022	0.125362993	-3.253493594	-0.109626686
549	5.49	0.051360755	0.604005729	0.316926044	-75.22978635	-64.387	0.3	1	-87	36	40	120	0	0.009816314	-1.131142553	0.220029631	4.05163766	0.070812771	0.046393655	4.274703907	0.057419696	0.125361275	-3.253164714	-0.10960336
550	5.5	0.051367375	0.604005879	0.316920991	-75.22869056	-64.387	0.3	1	-87	36	40	120	0	0.009820113	-1.131569552	0.220046292	4.051390961	0.07080889	0.046398505	4.274827217	0.057423371	0.125359557	-3.252835904	-0.109578238
551	5.51	0.051373998	0.604005983	0.316915978	-75.22759505	-64.387	0.3	1	-87	36	40	120	0	0.009823914	-1.131996708	0.220062951	4.051144332	0.070805011	0.046403353	4.274952549	0.057427044	0.12535784	-3.252507169	-0.109551329
552	5.52	0.051380622	0.604006043	0.316911004	-75.22649982	-64.387	0.3	1	-87	36	40	120	0	0.009827715	-1.132424016	0.220079607	4.05089778	0.070801132	0.046408201	4.27507989	0.057430717	0.125356124	-3.252178515	-0.109522641
553	5.53	0.051387248	0.604006058	0.31690607	-75.2254049	-64.387	0.3	1	-87	36	40	120	0	0.009831519	-1.132851467	0.220096259	4.050651307	0.070797255	0.046413048	4.275209232	0.057434389	0.125354407	-3.251849947	-0.109492182
554	5.54	0.051393875	0.604006029	0.316901176	-75.2243103	-64.387	0.3	1	-87	36	40	120	0	0.009835323	-1.133279053	0.220112908	4.050404917	0.07079338	0.046417894	4.275340564	0.05743806	0.125352692	-3.251521471	-0.10945996
555	5.55	0.051400504	0.604005955	0.316896321	-75.22321604	-64.387	0.3	1	-87	36	40	120	0	0.009839128	-1.133706767	0.220129553	4.050158615	0.070789505	0.04642274	4.275473875	0.057441731	0.125350977	-3.251193091	-0.109425983
556	5.56	0.051407135	0.604005837	0.316891505	-75.22212214	-64.387	0.3	1	-87	36	40	120	0	0.009842935	-1.134134602	0.220146195	4.049912405	0.070785632	0.046427584	4.275609155	0.0574454	0.125349262	-3.250864813	-0.10939026
